consulta,horario_dvr,canal,resolvido,gravacao_encontrada,ultima_gravacao,atraso_segundos,has_more
8,2026-09-18T08:03:14-03:00,16,True,False,,,False
9,2026-09-18T08:04:17-03:00,1,True,True,2026-09-18T08:03:14Z,63.0,False
9,2026-09-18T08:04:17-03:00,2,True,True,2026-09-18T08:03:14Z,63.0,False
9,2026-09-18T08:04:17-03:00,3,True,True,2026-09-18T08:03:14Z,63.0,False
9,2026-09-18T08:04:17-03:00,4,True,True,2026-09-18T08:04:17Z,0.0,False
9,2026-09-18T08:04:17-03:00,5,True,True,2026-09-18T08:03:14Z,63.0,False
9,2026-09-18T08:04:17-03:00,6,True,True,2026-09-18T08:03:15Z,62.0,False
9,2026-09-18T08:04:17-03:00,7,True,True,2026-09-18T08:04:17Z,0.0,False
9,2026-09-18T08:04:17-03:00,8,True,True,2026-09-18T08:03:15Z,62.0,False
9,2026-09-18T08:04:17-03:00,9,True,True,2026-09-18T08:04:17Z,0.0,False
9,2026-09-18T08:04:17-03:00,10,True,True,2026-09-18T08:03:16Z,61.0,False
9,2026-09-18T08:04:17-03:00,11,True,True,2026-09-18T08:04:17Z,0.0,False
9,2026-09-18T08:04:17-03:00,12,True,True,2026-09-18T08:03:16Z,61.0,False
9,2026-09-18T08:04:17-03:00,13,True,False,,,False
9,2026-09-18T08:04:17-03:00,14,True,False,,,False
9,2026-09-18T08:04:17-03:00,15,True,False,,,False
9,2026-09-18T08:04:17-03:00,16,True,False,,,False
10,2026-09-18T08:05:19-03:00,1,True,True,2026-09-18T08:05:19Z,0.0,False
10,2026-09-18T08:05:19-03:00,2,True,True,2026-09-18T08:04:17Z,62.0,False
10,2026-09-18T08:05:19-03:00,3,True,True,2026-09-18T08:04:17Z,62.0,False
10,2026-09-18T08:05:19-03:00,4,True,True,2026-09-18T08:04:17Z,62.0,False
10,2026-09-18T08:05:19-03:00,5,True,True,2026-09-18T08:04:17Z,62.0,False
10,2026-09-18T08:05:19-03:00,6,True,True,2026-09-18T08:04:18Z,61.0,False
10,2026-09-18T08:05:19-03:00,7,True,True,2026-09-18T08:04:17Z,62.0,False
10,2026-09-18T08:05:19-03:00,8,True,True,2026-09-18T08:05:19Z,0.0,False
10,2026-09-18T08:05:19-03:00,9,True,True,2026-09-18T08:05:19Z,0.0,False
10,2026-09-18T08:05:19-03:00,10,True,True,2026-09-18T08:04:18Z,61.0,False
10,2026-09-18T08:05:19-03:00,11,True,True,2026-09-18T08:04:18Z,61.0,False
10,2026-09-18T08:05:19-03:00,12,True,True,2026-09-18T08:05:19Z,0.0,False
10,2026-09-18T08:05:19-03:00,13,True,False,,,False
10,2026-09-18T08:05:19-03:00,14,True,False,,,False
10,2026-09-18T08:05:19-03:00,15,True,False,,,False
10,2026-09-18T08:05:19-03:00,16,True,False,,,False
